,price,priceEpsCurrentYear,priceToBook,EV/EBITDA,PB,PS,EV,EV/GP,epsForward,trailingPE
MMM,126.6,12.423945,4.9699683,8.71,5.08,2.14,84510000000,5.097104946025157,,
AOS,60.03,19.49026,5.247378,,,,,,,
ABT,113.39,21.722223,5.5417624,15.5,5.55,4.47,204420000000,8.173530587764894,,
ABBV,152.83,11.04263,16.898497,13.01,16.98,4.72,329370000000,8.471450617283951,,
ACN,284.88,24.836966,7.8049316,16.97,7.73,2.9,175070000000,8.886802030456852,,
ATVI,74.56,24.445902,3.1022716,22.55,3.19,8.2,52920000000,8.154083204930663,,
ADM,88.09,11.698539,2.0153282,8.94,2.02,0.51,57200000000,9.549248747913188,,
ADBE,344.38,22.479113,11.396896,22.74,11.39,9.21,158640000000,10.27461139896373,,
ADP,236.78,29.160099,38.15955,22.88,39.5,6.28,104080000000,13.970469798657717,,
AAP,149.21,11.804589,3.253882,13.08,3.29,0.84,12380000000,2.5111561866125762,,
AES,27.6,16.82927,7.170694,30.14,7.24,1.52,39430000000,14.549815498154981,,
AFL,72.44,13.824429,1.871206,,1.88,2.27,48110000000,5.286813186813187,,
A,155.4,27.504423,8.64919,25.29,8.76,6.87,48180000000,12.951612903225806,,
APD,306.38,26.922672,5.1709704,17.57,5.26,5.46,74150000000,22.06845238095238,,
AKAM,88.88,16.865274,3.3148098,12.64,3.29,4.01,16239999999,7.41552511369863,,
ALK,50.3,11.563218,1.6674954,12.3,1.67,0.71,7180000000,7.64643237486688,,
ALB,243.07,11.55825,4.229364,15.57,4.21,5.1,30370000000,30.06930693069307,,
ARE,156.16,43.86517,1.4415346,20.37,1.45,9.91,35930000000,23.953333333333333,,
ALGN,246.04,34.948864,5.201691,20.35,5.07,4.9,17760000000,6.040816326530612,,
ALLE,112.79,20.657509,12.521092,18.23,12.63,3.24,11940000000,9.95,,
LNT,55.08,19.741936,2.2069077,13.36,2.22,3.42,22200000000,14.23076923076923,,
ALL,135.52,58.92174,2.2956264,,2.09,0.73,44040000000,3.152469577666428,,
GOOGL,91.29,19.423405,4.668849,11.78,4.7,4.34,1110000000000,7.566462167689162,,
GOOG,92.16,19.56688,4.7133436,11.78,4.74,4.37,1110000000000,7.566462167689162,,
MO,45.16,9.330578,-19.143705,,,,,,,
AMZN,96.05,-873.1818,7.124314,,,,,,,
AMCR,12.15,15.576923,4.605762,13.0,4.61,1.23,24920000000,8.836879432624114,,
AMD,71.59,20.338068,2.1158564,19.44,2.1,4.58,111780000000,14.095838587641866,,
AEE,89.24,22.034567,2.261416,12.48,2.28,3.13,38250000000,12.792642140468228,,
AAL,17.08,244.0,-1.4062243,-380.44,,0.24,44510000000,23.06217616580311,,
AEP,94.86,18.896414,2.0074065,11.88,2.01,2.57,86390000000,11.278067885117494,,
AXP,153.75,15.35964,4.797491,,4.86,2.32,,,,
AIG,63.78,14.2049,1.2366456,,1.23,0.89,75990000000,3.890937019969278,,
AMT,231.05,36.44322,17.124964,32.37,,,,,,
AWK,157.24,35.255608,3.685284,,,,,,,
AMP,336.28,13.68661,11.015821,,10.89,2.66,32890000000,4.333333333333333,,
ABC,164.16,14.274783,-160.0,11.36,5.58,0.15,35510000000,4.2629051620648255,,
AME,144.63,25.689165,4.656771,20.02,4.71,5.62,35610000000,18.643979057591622,,
AMGN,269.42,15.247313,39.34862,13.87,39.69,5.65,172220000000,8.822745901639344,,
APH,80.69,27.16835,7.30623,17.55,7.28,4.04,51330000000,15.097058823529412,,
ADI,166.91,16.996946,2.331178,16.29,2.36,7.36,91190000000,11.691025641025641,,
ANSS,252.68,32.858257,4.8431177,,,,,,,
AON,316.94,24.101902,-84.02439,,,,,,,
APA,45.14,5.37381,24.347357,,,,,,,
AAPL,135.94,22.032415,42.775333,,,,,,,
AMAT,109.41,16.232939,7.5726748,,,,,,,
APTV,102.55,30.611942,3.390419,,,,,,,
ACGL,64.0,15.763547,2.1435509,,,,,,,
ANET,116.3,26.552511,8.102271,,,,,,,
AJG,195.65,25.245161,4.8112626,,,,,,,
AIZ,128.0,11.962617,1.6516981,,,,,,,
T,19.33,7.2397003,1.125342,,,,,,,
ATO,113.95,18.991667,1.7045369,,,,,,,
ADSK,200.7,30.455235,47.85408,,,,,,,
AZO,2355.88,18.566317,-11.53842,,,,,,,
AVB,170.01,22.311024,2.1177921,,,,,,,
AVY,193.51,20.011375,7.820165,,,,,,,
BKR,31.48,34.217392,2.2300935,,,,,,,
BALL,56.96,19.440271,5.1384754,,,,,,,
BAC,34.52,9.69663,1.1276624,,,,,,,
BBWI,45.88,14.658147,-4.009438,,,,,,,
BAX,44.74,12.567416,4.0743103,,,,,,,
BDX,256.0,21.440536,2.8694403,,,,,,,
WRB,71.81,16.508045,3.0077486,,,,,,,
BRK-B,314.86,21.624998,0.0010138453,,,,,,,
BBY,84.42,12.790909,6.3521442,,,,,,,
BIO,454.92,31.525988,1.6049448,,,,,,,
TECH,80.85,38.5,7.2452726,,,,,,,
BIIB,289.59,16.935087,3.264126,,,,,,,
BLK,749.73,21.506884,3.0355163,,,,,,,
BK,49.68,10.15951,1.1506126,,,,,,,
BA,211.41,-23.888136,-7.1145887,,,,,,,
BKNG,2334.02,23.946035,24.85962,,,,,,,
BWA,44.25,10.079727,1.5293427,,,,,,,
BXP,71.8,13.91473,1.8284143,,,,,,,
BSX,46.04,26.612717,3.7376199,,,,,,,
BMY,72.31,9.50197,4.700949,,,,,,,
AVGO,579.24,14.176211,10.661905,,,,,,,
BR,145.14,20.973988,8.973661,,,,,,,
BRO,61.18,27.3125,4.0207677,,,,,,,
BF-B,68.0,36.756756,10.7171,,,,,,,
CHRW,92.68,11.761421,6.6623535,,,,,,,
CDNS,172.97,40.891254,17.521273,,,,,,,
CZR,48.28,-14.199999,2.7046103,,,,,,,
CPT,117.74,19.854975,2.5387037,,,,,,,
CPB,54.66,18.22,4.714101,,,,,,,
COF,103.63,5.5298824,0.8602284,,,,,,,
CAH,76.42,14.391713,-11.241542,,,,,,,
KMX,67.44,23.49826,1.9420048,,,,,,,
CCL,10.88,-155.42857,1.9397397,,,,,,,
CARR,45.43,19.414532,5.3115864,,,,,,,
CTLT,47.96,14.987499,1.8367738,,,,,,,
CAT,256.26,18.435972,8.553691,,,,,,,
CBOE,123.62,17.968023,3.9813206,,,,,,,
CBRE,84.7,15.125,3.3109214,,,,,,,
CDW,197.62,20.206545,20.165306,,,,,,,
CE,120.07,7.4485106,2.6290781,,,,,,,
CNC,76.74,13.369338,1.7238746,,,,,,,
CNP,31.08,22.52174,2.127019,,,,,,,
CDAY,67.68,78.69767,5.0654893,,,,,,,
